level,order,title,author,publisher
D,35,森の王国,竹田津実,偕成社
D,36,みんなでつくる１本の辞書,飯田朝子 寄藤文平・絵,福音館書店
D,37,くまのパディントン,ボンド 松岡享子・訳,福音館書店
D,38,お星さまのレール,小林千登勢,金の星社
D,39,みらくるミルク,中西敏夫 米本久美子・絵,福音館書店
D,40,ヘレン＝ケラー自伝,今西祐行・訳,講談社
D,41,それいけズッコケ三人組,那須正幹,ポプラ社
D,42,エジソン,崎川範行,講談社
D,43,岸辺のヤービ,梨木香歩 小沢さかえ・画,福音館書店
D,44,富士山うたごよみ,俵万智 Ｕ . Ｇ . サトー・絵,福音館書店
D,45,ファーブルの夏ものがたり,アンダーソン 千葉茂樹・訳,くもん出版
D,46,ダーウィンのミミズの研究,新妻昭夫 杉田比呂美・絵,福音館書店
D,47,すぐそこに、カヤネズミ,畠佐代子,くもん出版
D,48,シノダ！チビ竜と魔法の実,富安陽子 大庭賢哉・絵,偕成社
D,49,せいめいのれきし,バートン いしいももこ・訳,岩波書店
D,50,ドリトル先生アフリカゆき,ロフティング 井伏鱒二・訳,岩波書店
E,1,注文の多い料理店,宮沢賢治 太田大八・絵,講談社
E,2,空気がなくなる日,岩倉政治 二俣英五郎・絵,ポプラ社
E,3,ヘンダワネのタネの物語,新藤悦子 丹地陽子・絵,ポプラ社
